year,month,state,price,,,,,,,,,,,,,,,,,,,,
2018,7,NM,13.39,,,,,,,,,,,,,,,,,,,,
2018,7,NV,11.34,,,,,,,,,,,,,,,,,,,,
2018,7,NY,19.38,,,,,,,,,,,,,,,,,,,,
2018,7,OH,12.70,,,,,,,,,,,,,,,,,,,,
2018,7,OK,10.32,,,,,,,,,,,,,,,,,,,,
2018,7,OR,11.22,,,,,,,,,,,,,,,,,,,,
2018,7,PA,13.98,,,,,,,,,,,,,,,,,,,,
2018,7,RI,18.23,,,,,,,,,,,,,,,,,,,,
2018,7,SC,12.96,,,,,,,,,,,,,,,,,,,,
2018,7,SD,12.42,,,,,,,,,,,,,,,,,,,,
2018,7,TN,10.68,,,,,,,,,,,,,,,,,,,,
2018,7,TX,11.26,,,,,,,,,,,,,,,,,,,,
2018,7,UT,10.94,,,,,,,,,,,,,,,,,,,,
2018,7,VA,12.33,,,,,,,,,,,,,,,,,,,,
2018,7,VT,17.86,,,,,,,,,,,,,,,,,,,,
2018,7,WA,9.71,,,,,,,,,,,,,,,,,,,,
2018,7,WI,14.30,,,,,,,,,,,,,,,,,,,,
2018,7,WV,11.43,,,,,,,,,,,,,,,,,,,,
2018,7,WY,12.04,,,,,,,,,,,,,,,,,,,,
2018,8,AK,22.73,,,,,,,,,,,,,,,,,,,,
2018,8,AL,12.41,,,,,,,,,,,,,,,,,,,,
2018,8,AR,9.98,,,,,,,,,,,,,,,,,,,,
2018,8,AZ,12.91,,,,,,,,,,,,,,,,,,,,
2018,8,CA,20.03,,,,,,,,,,,,,,,,,,,,
2018,8,CO,12.49,,,,,,,,,,,,,,,,,,,,
2018,8,CT,21.28,,,,,,,,,,,,,,,,,,,,
2018,8,DC,12.56,,,,,,,,,,,,,,,,,,,,
2018,8,DE,12.30,,,,,,,,,,,,,,,,,,,,
2018,8,FL,11.27,,,,,,,,,,,,,,,,,,,,
2018,8,GA,12.51,,,,,,,,,,,,,,,,,,,,
2018,8,HI,32.40,,,,,,,,,,,,,,,,,,,,
2018,8,IA,14.57,,,,,,,,,,,,,,,,,,,,
2018,8,ID,10.53,,,,,,,,,,,,,,,,,,,,
2018,8,IL,12.32,,,,,,,,,,,,,,,,,,,,
2018,8,IN,12.26,,,,,,,,,,,,,,,,,,,,
2018,8,KS,13.72,,,,,,,,,,,,,,,,,,,,
2018,8,KY,10.47,,,,,,,,,,,,,,,,,,,,
2018,8,LA,9.65,,,,,,,,,,,,,,,,,,,,
2018,8,MA,20.85,,,,,,,,,,,,,,,,,,,,
2018,8,MD,13.06,,,,,,,,,,,,,,,,,,,,
2018,8,ME,16.28,,,,,,,,,,,,,,,,,,,,
2018,8,MI,15.48,,,,,,,,,,,,,,,,,,,,
2018,8,MN,13.99,,,,,,,,,,,,,,,,,,,,
2018,8,MO,12.68,,,,,,,,,,,,,,,,,,,,
2018,8,MS,10.98,,,,,,,,,,,,,,,,,,,,
2018,8,MT,11.51,,,,,,,,,,,,,,,,,,,,
2018,8,NC,11.49,,,,,,,,,,,,,,,,,,,,
2018,8,ND,11.93,,,,,,,,,,,,,,,,,,,,
2018,8,NE,12.07,,,,,,,,,,,,,,,,,,,,
2018,8,NH,19.28,,,,,,,,,,,,,,,,,,,,
2018,8,NJ,15.29,,,,,,,,,,,,,,,,,,,,
2018,8,NM,13.62,,,,,,,,,,,,,,,,,,,,
2018,8,NV,11.42,,,,,,,,,,,,,,,,,,,,
2018,8,NY,19.03,,,,,,,,,,,,,,,,,,,,
2018,8,OH,12.68,,,,,,,,,,,,,,,,,,,,
2018,8,OK,10.80,,,,,,,,,,,,,,,,,,,,
2018,8,OR,11.09,,,,,,,,,,,,,,,,,,,,
2018,8,PA,13.91,,,,,,,,,,,,,,,,,,,,
2018,8,RI,18.70,,,,,,,,,,,,,,,,,,,,
2018,8,SC,10.23,,,,,,,,,,,,,,,,,,,,
2018,8,SD,12.65,,,,,,,,,,,,,,,,,,,,
2018,8,TN,10.83,,,,,,,,,,,,,,,,,,,,
2018,8,TX,11.44,,,,,,,,,,,,,,,,,,,,
2018,8,UT,11.02,,,,,,,,,,,,,,,,,,,,
2018,8,VA,12.34,,,,,,,,,,,,,,,,,,,,
2018,8,VT,17.93,,,,,,,,,,,,,,,,,,,,
2018,8,WA,9.80,,,,,,,,,,,,,,,,,,,,
2018,8,WI,14.36,,,,,,,,,,,,,,,,,,,,
2018,8,WV,11.39,,,,,,,,,,,,,,,,,,,,
2018,8,WY,11.82,,,,,,,,,,,,,,,,,,,,
2018,9,AK,22.76,,,,,,,,,,,,,,,,,,,,
2018,9,AL,12.47,,,,,,,,,,,,,,,,,,,,
2018,9,AR,10.05,,,,,,,,,,,,,,,,,,,,
2018,9,AZ,12.91,,,,,,,,,,,,,,,,,,,,
2018,9,CA,19.39,,,,,,,,,,,,,,,,,,,,
2018,9,CO,12.55,,,,,,,,,,,,,,,,,,,,
2018,9,CT,22.05,,,,,,,,,,,,,,,,,,,,
2018,9,DC,12.56,,,,,,,,,,,,,,,,,,,,
2018,9,DE,12.38,,,,,,,,,,,,,,,,,,,,
2018,9,FL,11.31,,,,,,,,,,,,,,,,,,,,
2018,9,GA,12.09,,,,,,,,,,,,,,,,,,,,
2018,9,HI,32.29,,,,,,,,,,,,,,,,,,,,
2018,9,IA,13.23,,,,,,,,,,,,,,,,,,,,
2018,9,ID,10.32,,,,,,,,,,,,,,,,,,,,
2018,9,IL,12.19,,,,,,,,,,,,,,,,,,,,
2018,9,IN,12.33,,,,,,,,,,,,,,,,,,,,
2018,9,KS,12.86,,,,,,,,,,,,,,,,,,,,
2018,9,KY,10.70,,,,,,,,,,,,,,,,,,,,
2018,9,LA,9.28,,,,,,,,,,,,,,,,,,,,
2018,9,MA,22.15,,,,,,,,,,,,,,,,,,,,
2018,9,MD,13.29,,,,,,,,,,,,,,,,,,,,
2018,9,ME,16.01,,,,,,,,,,,,,,,,,,,,
2018,9,MI,15.40,,,,,,,,,,,,,,,,,,,,
2018,9,MN,14.57,,,,,,,,,,,,,,,,,,,,
